seller_id,seller_username,seller_feedback_score,seller_positive_feedback_percentage
1,nooksshop,2807,100.0
2,dysonoutlet.ie,704,97.2
3,serman,435,83.7
4,clickseal,3135,98.7
5,pinsuk,3292,97.3
6,bargainsuk3,1612,99.6
7,sal78601,1260,99.5
8,mr_dyson_sales,31353,98.4
9,ogurlays,696,95.4
10,totalseven,8346,99.7
11,haytech37,753,99.5
12,sivill123,22226,100.0
13,st57_67,162,93.8
14,nelmic1613,552,100.0
15,evajewellery,165,99.2
16,golfingnoob2012,1101,100.0
17,sarah031272,20386,99.8
18,jf-ecommerce,493,97.9
19,tetsuya09,1252,99.5
20,ware_n_house,4783,99.2
21,eluxtronics,964,96.0
22,castellobrown,684,100.0
23,lmretailltd,1453,100.0
24,shoponline232,1321,100.0
25,smoothbargain4u,1501,99.8
26,st-store-tokyo,683,99.8
27,y--157,185,98.8
28,wa-gift-tokyo,344,99.6
29,mowgli0810,2241,99.6
30,pamar-2500,885,94.7
31,ecocyclone,854,99.0
32,dealcroydon,10163,99.8
33,smd-4165,738,97.8
34,rajivagarwal1975,3936,96.1
35,electronicseller2050,19885,98.8
36,ak_spares_co_uk,529,99.4
37,k-miracle,229,100.0
38,luke_chris,856,99.6
39,aidcleaningstore2010,544397,98.5
40,yoskon-50,623,99.4
41,classicgenerations,29735,99.3
42,ds_bargains,760,99.2
43,spares-2-go,1524328,99.3
44,ibiange,2987,98.8
45,bluedax_japan,345,99.3
46,basa_718,2117,99.5
47,49marke-14,3498,97.2
48,saleem_jah,1141,95.8
